occurrence_id,occurrence_location,ship_craft_type_l1,flag_state,gt_gross_tonnage,loa_length_overall_in_metres,port_of_accident_l1_occ,injury_type_l1,deaths_crew,injury_type_l1,short_description_occ,weather,loss_of_vessel_damage,date
ff3952b0-6fe3-ed11-8846-002248c87a40,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,A chemical/products tanker parted a mooring line whilst coming alongside.,Clear,,2023-04-01
d9096ad0-5d16-ee11-9cbe-002248c87217,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,140000.0,330.0,,Bone fractures,0,Bone fractures,A cruise ship passenger fell out of bed resulting in a fractured clavicle.,Clear,No damage,2023-06-01
02d9d69b-2f22-ee11-9967-002248c8714f,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,110000.0,290.0,CANADA,Bone fractures,0,Bone fractures,Cruise ship's passenger tripped and sustained a fractured shoulder.,Clear,No damage,2023-07-01
f5131f0e-0127-ee11-9965-002248c87a51,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,8000.0,89.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,"Dislocations, sprains and strains",A ro-pax crew member sustained a torn rotator cuff when moving a heavy drum.,Unknown,No damage,2023-07-01
3f33abdb-bd6d-ee11-9ae7-002248c8714f,Internal waters -> Port area,Cargo ship,CYPRUS,9900.0,130.0,UNITED KINGDOM,Bone fractures,0,Bone fractures,Container ship's crew member sustained an open fractured finger injury while working.,Unknown,No damage,2023-10-01
9f50599a-596f-ee11-9ae7-002248c87217,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Port tender vessel suffered an engine failure resulting in no further damage.,Unknown,,2023-10-01
b7b5686e-d5a4-ee11-be37-002248c878ca,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,port tender suffered an engine issue.,Unknown,,2023-12-01
5bb4aec6-b9b6-ee11-a568-002248c87a57,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,Ro-Ro passenger vessel's roller failed resulting in damaged mooring equipment.,Overcast,,2024-01-01
f4c50e53-f9c0-ee11-9079-002248c8714f,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,58000.0,230.0,,Bone fractures,0,Bone fractures,A cruise ship passenger fell and sustained a fractured shoulder,Clear,No damage,2024-01-01
498e714c-abcc-ee11-9079-002248c878ca,Internal waters -> Port area,,,,,UNITED KINGDOM,,0,,EERV made contact/grounded with the fairway resulting in damage to the thruster.,Clear,,2024-02-01
